,review,negative-score,positive-score,compound-pos,compound-neg
0,phone sturdy waterproof,0.08,0.92,0.231112013,0.020651506
1,received headset good time happy,0.01,0.99,0.247654058,0.00258198
2,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,0.81,0.19,0.048998863,0.204711964
3,avoid one,0.77,0.23,0.059281304,0.194996707
4,good item low price,0.15,0.85,0.214367096,0.038700819
5,good case,0.08,0.92,0.231112013,0.020651506
6,warranty problems reoccure bottom line put money somewhere else cingular support,0.93,0.07,0.018070971,0.233487846
7,dont buy,0.99,0.01,0.00258198,0.247654058
8,pair headphones worst ever soundwise,0.96,0.04,0.010327405,0.24059017
9,love phone,0.02,0.98,0.245303751,0.005163909
10,im quite satisfied purchase,0.51,0.49,0.12551689,0.130554392
11,even take self portraits outside exterior display cool,0.53,0.47,0.120469662,0.135581802
12,holster arrived match photo ad,0.66,0.34,0.08745129,0.167989516
13,would recommend item anyone,0.07,0.93,0.233487846,0.018070971
14,tied charger conversations lasting 45 minutes major problems,0.68,0.32,0.082343058,0.172930047
15,terrible car accept cassette,0.94,0.06,0.015490075,0.235859505
16,good stuff price,0.04,0.96,0.24059017,0.010327405
17,logitech bluetooth headset 10,0.35,0.65,0.16551447,0.090002847
18,comfortable hand,0.07,0.93,0.233487846,0.018070971
19,replacement died weeks,0.67,0.33,0.084898011,0.170461389
20,cool phone,0.4,0.6,0.153093109,0.102733099
21,highly recommend encourage people give try,0.08,0.92,0.231112013,0.020651506
22,iam pleased purchase,0.38,0.62,0.158070711,0.097646698
23,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0.49,0.51,0.130554392,0.12551689
24,also happy price,0.01,0.99,0.247654058,0.00258198
25,purcashed car charger work,0.86,0.14,0.036124251,0.216771212
26,many people complained found headsets microphone weak,0.66,0.34,0.08745129,0.167989516
27,exchanged phone even problem,0.71,0.29,0.074668649,0.180316334
28,also area unit broke im fond magnetic strap,0.96,0.04,0.010327405,0.24059017
29,like loud buzzing override conversations phone,0.85,0.15,0.038700819,0.214367096
30,ordered product first unhappy immediately,0.87,0.13,0.033546963,0.219171391
31,item match picture,0.79,0.21,0.054142236,0.199861704
32,much less jawbone going replace,0.38,0.62,0.158070711,0.097646698
33,instruction manual lacking,0.61,0.39,0.10019088,0.155583392
34,steer clear product go genuine palm replacementr pens come threepack,0.3,0.7,0.17785756,0.077228328
35,great phone,0,1,0.25,0
36,purchased within 2 days longer working,0.65,0.35,0.090002847,0.16551447
37,phone year tell great,0.02,0.98,0.245303751,0.005163909
38,handsfree part works fine car tries download address book treo reboots overall still rate device high,0.08,0.92,0.231112013,0.020651506
39,buyer beware could flush money right toilet,1,0,0,0.25
40,great phone,0,1,0.25,0
41,works,0,1,0.25,0
42,doesnt last long,0.92,0.08,0.020651506,0.231112013
43,plug wrong size,0.88,0.12,0.030969005,0.221567597
44,tried 2 units failed within 2 months pros,0.9,0.1,0.025811287,0.226347955
45,piece trash,0.94,0.06,0.015490075,0.235859505
46,ive nearly 2 years worked great,0.08,0.92,0.231112013,0.020651506
47,love phone handy lot features,0.01,0.99,0.247654058,0.00258198
48,loud enough doesnt turn like,0.89,0.11,0.028390429,0.223959796
49,however girl complain time phone doesnt wake like normal phone,0.63,0.37,0.095100599,0.160555026
50,great charger,0.01,0.99,0.247654058,0.00258198
51,satisfied cell phone day one,0.36,0.64,0.163036293,0.092552633
52,headset fulfills requirements happy purchase,0.06,0.94,0.235859505,0.015490075
53,worst ever,0.97,0.03,0.007745734,0.242949112
54,defeats purpose bluetooth headset,0.22,0.78,0.197431029,0.056712334
55,definitely bargain,0.63,0.37,0.095100599,0.160555026
56,sprint charges service,0.7,0.3,0.077228328,0.17785756
57,best phone market,0.02,0.98,0.245303751,0.005163909
58,23 bars cell phone home cant hear anything,0.81,0.19,0.048998863,0.204711964
59,great product price,0,1,0.25,0
60,cool,0.51,0.49,0.12551689,0.130554392
61,wear glasses fits fine,0.07,0.93,0.233487846,0.018070971
62,used talk 1 1 12 hours battery would literally drained dying,0.96,0.04,0.010327405,0.24059017
63,ear loop needed tiny sound great,0.02,0.98,0.245303751,0.005163909
64,take picture battery drops bar starts beeping letting know dieing,0.86,0.14,0.036124251,0.216771212
65,uncomfortable ear dont use lg vx9900 env,0.91,0.09,0.023231628,0.228732038
