,review,negative-score,positive-score
0,phone sturdy waterproof,0.08,0.92
1,received headset good time happy,0.01,0.99
2,good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,0.81,0.19
3,avoid one,0.77,0.23
4,good item low price,0.15,0.85
5,good case,0.08,0.92
6,warranty problems reoccure bottom line put money somewhere else cingular support,0.93,0.07
7,dont buy,0.99,0.01
8,pair headphones worst ever soundwise,0.96,0.04
9,love phone,0.02,0.98
10,im quite satisfied purchase,0.51,0.49
11,even take self portraits outside exterior display cool,0.53,0.47
12,holster arrived match photo ad,0.66,0.34
13,would recommend item anyone,0.07,0.93
14,tied charger conversations lasting 45 minutes major problems,0.68,0.32
15,terrible car accept cassette,0.94,0.06
16,good stuff price,0.04,0.96
17,logitech bluetooth headset 10,0.35,0.65
18,comfortable hand,0.07,0.93
19,replacement died weeks,0.67,0.33
20,cool phone,0.4,0.6
21,highly recommend encourage people give try,0.08,0.92
22,iam pleased purchase,0.38,0.62
23,uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0.49,0.51
24,also happy price,0.01,0.99
25,purcashed car charger work,0.86,0.14
26,many people complained found headsets microphone weak,0.66,0.34
27,exchanged phone even problem,0.71,0.29
28,also area unit broke im fond magnetic strap,0.96,0.04
29,like loud buzzing override conversations phone,0.85,0.15
30,ordered product first unhappy immediately,0.87,0.13
31,item match picture,0.79,0.21
32,much less jawbone going replace,0.38,0.62
33,instruction manual lacking,0.61,0.39
34,steer clear product go genuine palm replacementr pens come threepack,0.3,0.7
35,great phone,0.0,1.0
36,purchased within 2 days longer working,0.65,0.35
37,phone year tell great,0.02,0.98
38,handsfree part works fine car tries download address book treo reboots overall still rate device high,0.08,0.92
39,buyer beware could flush money right toilet,1.0,0.0
40,great phone,0.0,1.0
41,works,0.0,1.0
42,doesnt last long,0.92,0.08
43,plug wrong size,0.88,0.12
44,tried 2 units failed within 2 months pros,0.9,0.1
45,piece trash,0.94,0.06
46,ive nearly 2 years worked great,0.08,0.92
47,love phone handy lot features,0.01,0.99
48,loud enough doesnt turn like,0.89,0.11
49,however girl complain time phone doesnt wake like normal phone,0.63,0.37
50,great charger,0.01,0.99
51,satisfied cell phone day one,0.36,0.64
52,headset fulfills requirements happy purchase,0.06,0.94
53,worst ever,0.97,0.03
54,defeats purpose bluetooth headset,0.22,0.78
55,definitely bargain,0.63,0.37
56,sprint charges service,0.7,0.3
57,best phone market,0.02,0.98
58,23 bars cell phone home cant hear anything,0.81,0.19
59,great product price,0.0,1.0
60,cool,0.51,0.49
61,wear glasses fits fine,0.07,0.93
62,used talk 1 1 12 hours battery would literally drained dying,0.96,0.04
63,ear loop needed tiny sound great,0.02,0.98
