"","Invoice No.","Stock Code","Description","Quantity","Invoice Date","Unit Price","Customer ID","Country"
"1","536527","22809","SET OF 6 T-LIGHTS SANTA",6,2010-12-01 13:04:00,2.95,12662,"Germany"
"2","536527","84347","ROTATING SILVER ANGELS T-LIGHT HLDR",6,2010-12-01 13:04:00,2.55,12662,"Germany"
"3","536527","84945","MULTI COLOUR SILVER T-LIGHT HOLDER",12,2010-12-01 13:04:00,0.85,12662,"Germany"
"4","536527","22242","5 HOOK HANGER MAGIC TOADSTOOL",12,2010-12-01 13:04:00,1.65,12662,"Germany"
"5","536527","22244","3 HOOK HANGER MAGIC GARDEN",12,2010-12-01 13:04:00,1.95,12662,"Germany"
"6","536527","22243","5 HOOK HANGER RED MAGIC TOADSTOOL",12,2010-12-01 13:04:00,1.65,12662,"Germany"
"7","536527","47421","ASSORTED COLOUR LIZARD SUCTION HOOK",24,2010-12-01 13:04:00,0.42,12662,"Germany"
"8","536527","20712","JUMBO BAG WOODLAND ANIMALS",10,2010-12-01 13:04:00,1.95,12662,"Germany"
"9","536527","20713","JUMBO BAG OWLS",10,2010-12-01 13:04:00,1.95,12662,"Germany"
"10","536527","22837","HOT WATER BOTTLE BABUSHKA",4,2010-12-01 13:04:00,4.65,12662,"Germany"
"11","536527","22969","HOMEMADE JAM SCENTED CANDLES",12,2010-12-01 13:04:00,1.45,12662,"Germany"
"12","536527","22973","CHILDREN'S CIRCUS PARADE MUG",12,2010-12-01 13:04:00,1.65,12662,"Germany"
"13","536527","84569B","PACK 3 FIRE ENGINE/CAR PATCHES",12,2010-12-01 13:04:00,1.25,12662,"Germany"
"14","536527","22549","PICTURE DOMINOES",12,2010-12-01 13:04:00,1.45,12662,"Germany"
"15","536527","POST","POSTAGE",1,2010-12-01 13:04:00,18,12662,"Germany"
"16","C536548","22244","3 HOOK HANGER MAGIC GARDEN",-4,2010-12-01 14:33:00,1.95,12472,"Germany"
"17","C536548","22242","5 HOOK HANGER MAGIC TOADSTOOL",-5,2010-12-01 14:33:00,1.65,12472,"Germany"
"18","C536548","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",-1,2010-12-01 14:33:00,2.95,12472,"Germany"
"19","C536548","22892","SET OF SALT AND PEPPER TOADSTOOLS",-7,2010-12-01 14:33:00,1.25,12472,"Germany"
"20","C536548","22654","DELUXE SEWING KIT",-1,2010-12-01 14:33:00,5.95,12472,"Germany"
"21","C536548","22767","TRIPLE PHOTO FRAME CORNICE",-2,2010-12-01 14:33:00,9.95,12472,"Germany"
"22","C536548","22333","RETROSPOT PARTY BAG + STICKER SET",-1,2010-12-01 14:33:00,1.65,12472,"Germany"
"23","C536548","22245","HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-12-01 14:33:00,0.85,12472,"Germany"
"24","C536548","22077","6 RIBBONS RUSTIC CHARM",-6,2010-12-01 14:33:00,1.65,12472,"Germany"
"25","C536548","22631","CIRCUS PARADE LUNCH BOX",-1,2010-12-01 14:33:00,1.95,12472,"Germany"
"26","C536548","22168","ORGANISER WOOD ANTIQUE WHITE",-2,2010-12-01 14:33:00,8.5,12472,"Germany"
"27","C536548","21218","RED SPOTTY BISCUIT TIN",-3,2010-12-01 14:33:00,3.75,12472,"Germany"
"28","C536548","20957","PORCELAIN HANGING BELL SMALL",-1,2010-12-01 14:33:00,1.45,12472,"Germany"
"29","C536548","22580","ADVENT CALENDAR GINGHAM SACK",-4,2010-12-01 14:33:00,5.95,12472,"Germany"
"30","C536622","22752","SET 7 BABUSHKA NESTING BOXES",-2,2010-12-02 10:37:00,8.5,12471,"Germany"
"31","536840","22961","JAM MAKING SET PRINTED",12,2010-12-02 18:27:00,1.45,12738,"Germany"
"32","536840","22962","JAM JAR WITH PINK LID",12,2010-12-02 18:27:00,0.85,12738,"Germany"
"33","536840","22963","JAM JAR WITH GREEN LID",12,2010-12-02 18:27:00,0.85,12738,"Germany"
"34","536840","22776","SWEETHEART CAKESTAND 3 TIER",1,2010-12-02 18:27:00,9.95,12738,"Germany"
"35","536840","22952","60 CAKE CASES VINTAGE CHRISTMAS",24,2010-12-02 18:27:00,0.55,12738,"Germany"
"36","536840","22077","6 RIBBONS RUSTIC CHARM",12,2010-12-02 18:27:00,1.65,12738,"Germany"
"37","536840","22215","CAKE STAND WHITE TWO TIER LACE",2,2010-12-02 18:27:00,8.5,12738,"Germany"
"38","536840","21977","PACK OF 60 PINK PAISLEY CAKE CASES",24,2010-12-02 18:27:00,0.55,12738,"Germany"
"39","536840","84991","60 TEATIME FAIRY CAKE CASES",24,2010-12-02 18:27:00,0.55,12738,"Germany"
"40","536840","21212","PACK OF 72 RETROSPOT CAKE CASES",24,2010-12-02 18:27:00,0.55,12738,"Germany"
"41","536840","POST","POSTAGE",1,2010-12-02 18:27:00,18,12738,"Germany"
"42","536861","22149","FELTCRAFT 6 FLOWER FRIENDS",6,2010-12-03 10:44:00,2.1,12427,"Germany"
"43","536861","22077","6 RIBBONS RUSTIC CHARM",12,2010-12-03 10:44:00,1.65,12427,"Germany"
"44","536861","21249","WOODLAND  HEIGHT CHART STICKERS",6,2010-12-03 10:44:00,2.95,12427,"Germany"
"45","536861","22636","CHILDS BREAKFAST SET CIRCUS PARADE",8,2010-12-03 10:44:00,7.65,12427,"Germany"
"46","536861","22634","CHILDS BREAKFAST SET SPACEBOY",8,2010-12-03 10:44:00,8.5,12427,"Germany"
"47","536861","22301","COFFEE MUG CAT + BIRD DESIGN",6,2010-12-03 10:44:00,2.55,12427,"Germany"
"48","536861","22300","COFFEE MUG DOG + BALL DESIGN",6,2010-12-03 10:44:00,2.55,12427,"Germany"
"49","536861","21328","BALLOONS  WRITING SET",12,2010-12-03 10:44:00,1.65,12427,"Germany"
"50","536861","21329","DINOSAURS  WRITING SET",12,2010-12-03 10:44:00,1.65,12427,"Germany"
"51","536861","POST","POSTAGE",3,2010-12-03 10:44:00,18,12427,"Germany"
"52","536967","POST","POSTAGE",1,2010-12-03 12:57:00,18,12600,"Germany"
"53","536967","85099B","JUMBO BAG RED RETROSPOT",30,2010-12-03 12:57:00,1.95,12600,"Germany"
"54","536983","22331","WOODLAND PARTY BAG + STICKER SET",8,2010-12-03 14:30:00,1.65,12712,"Germany"
"55","536983","22865","HAND WARMER OWL DESIGN",12,2010-12-03 14:30:00,2.1,12712,"Germany"
"56","536983","22171","3 HOOK PHOTO SHELF ANTIQUE WHITE",4,2010-12-03 14:30:00,8.5,12712,"Germany"
"57","536983","22926","IVORY GIANT GARDEN THERMOMETER",4,2010-12-03 14:30:00,5.95,12712,"Germany"
"58","536983","22914","BLUE COAT RACK PARIS FASHION",3,2010-12-03 14:30:00,4.95,12712,"Germany"
"59","536983","84849D","HOT BATHS SOAP HOLDER",12,2010-12-03 14:30:00,1.69,12712,"Germany"
"60","536983","22445","PENCIL CASE LIFE IS BEAUTIFUL",6,2010-12-03 14:30:00,2.95,12712,"Germany"
"61","536983","16016","LARGE CHINESE STYLE SCISSOR",10,2010-12-03 14:30:00,0.85,12712,"Germany"
"62","536983","POST","POSTAGE",1,2010-12-03 14:30:00,18,12712,"Germany"
"63","537197","22843","BISCUIT TIN VINTAGE GREEN",2,2010-12-05 14:02:00,6.75,12647,"Germany"
"64","537197","22842","BISCUIT TIN VINTAGE RED",2,2010-12-05 14:02:00,6.75,12647,"Germany"
