"","holiday","Description","Sales"
"1","Easter","6 RIBBONS RUSTIC CHARM",19.8
"2","Easter","ALARM CLOCK BAKELIKE PINK",30
"3","Easter","CERAMIC STRAWBERRY CAKE MONEY BANK",17.4
"4","Easter","DOUGHNUT LIP GLOSS",50
"5","Easter","EASTER TIN BUNNY BOUQUET",9.9
"6","Easter","FUNKY DIVA PEN",40.8
"7","Easter","GIRAFFE WOODEN RULER",23.4
"8","Easter","GROW A FLYTRAP OR SUNFLOWER IN TIN",30
"9","Easter","ICE CREAM PEN LIP GLOSS",30
"10","Easter","ICE CREAM SUNDAE LIP GLOSS",30
"11","Easter","KNICKERBOCKERGLORY MAGNET ASSORTED",9.96
"12","Easter","MOTHER'S KITCHEN SPOON REST",22.5
"13","Easter","PACK 3 BOXES BIRD PANNETONE",23.4
"14","Easter","PACK OF 20 NAPKINS PANTRY DESIGN",10.2
"15","Easter","PACK OF 20 NAPKINS RED APPLES",10.2
"16","Easter","PACK OF 6 BIRDY GIFT TAGS",15
"17","Easter","PLASTERS IN TIN WOODLAND ANIMALS",19.8
"18","Easter","RECYCLED ACAPULCO MAT BLUE",16.5
"19","Easter","RED COAT RACK PARIS FASHION",14.85
"20","Easter","REVOLVER WOODEN RULER",23.4
"21","Easter","ROSE COTTAGE KEEPSAKE BOX",39.8
"22","Easter","SAVE THE PLANET COTTON TOTE BAG",13.5
"23","Easter","SET OF 3 NOTEBOOKS IN PARCEL",19.8
"24","Easter","SET OF 4 PANTRY JELLY MOULDS",15
"25","Easter","SET OF 5 LUCKY CAT MAGNETS",49.92
"26","Easter","SET OF 5 PANCAKE DAY MAGNETS",24.96
"27","Easter","SET/20 RED RETROSPOT PAPER NAPKINS",10.2
