"","holiday","Description","Sales"
"1","Labour Day","CHARLOTTE BAG APPLES DESIGN",102
"2","Labour Day","CHILDREN'S SPACEBOY MUG",59.4
"3","Labour Day","CHILDRENS DOLLY GIRL MUG",59.4
"4","Labour Day","CIRCUS PARADE LUNCH BOX",140.4
"5","Labour Day","JUNGLE POPSICLES ICE LOLLY MOULDS",152.64
"6","Labour Day","LUNCH BAG  BLACK SKULL.",49.5
"7","Labour Day","LUNCH BAG APPLE DESIGN",198
"8","Labour Day","LUNCH BAG WOODLAND",49.5
"9","Labour Day","LUNCH BOX I LOVE LONDON",140.4
"10","Labour Day","LUNCH BOX WITH CUTLERY RETROSPOT",378
"11","Labour Day","MULTICOLOUR SPRING FLOWER MUG",56.16
"12","Labour Day","PICNIC BASKET WICKER LARGE",59.7
"13","Labour Day","PICNIC BASKET WICKER SMALL",71.4
"14","Labour Day","PLASTERS IN TIN CIRCUS PARADE",59.4
"15","Labour Day","PLASTERS IN TIN SPACEBOY",59.4
"16","Labour Day","PLASTERS IN TIN STRONGMAN",59.4
"17","Labour Day","PLASTERS IN TIN WOODLAND ANIMALS",59.4
"18","Labour Day","POPPY'S PLAYHOUSE BATHROOM",37.8
"19","Labour Day","POPPY'S PLAYHOUSE BEDROOM",37.8
"20","Labour Day","POPPY'S PLAYHOUSE KITCHEN",37.8
"21","Labour Day","POPPY'S PLAYHOUSE LIVINGROOM",37.8
"22","Labour Day","RED RETROSPOT CUP",81.6
"23","Labour Day","RED RETROSPOT PICNIC BAG",44.25
"24","Labour Day","RED RETROSPOT PLATE",81.12
"25","Labour Day","SET/6 FRUIT SALAD  PAPER PLATES",14.04
"26","Labour Day","SET/6 FRUIT SALAD PAPER CUPS",13.68
"27","Labour Day","SET/6 RED SPOTTY PAPER CUPS",46.8
"28","Labour Day","SET/6 RED SPOTTY PAPER PLATES",30.6
"29","Labour Day","SKULL LUNCH BOX WITH CUTLERY",91.8
"30","Labour Day","SPACEBOY LUNCH BOX",140.4
"31","Labour Day","STARS GIFT TAPE",23.4
"32","Labour Day","STRAWBERRY LUNCH BOX WITH CUTLERY",378
