"","holiday","Description","Sales"
"1","Reformation Day","3 RAFFIA RIBBONS 50'S CHRISTMAS",15.8
"2","Reformation Day","BAKING SET 9 PIECE RETROSPOT",29.7
"3","Reformation Day","BISCUIT TIN 50'S CHRISTMAS",34.68
"4","Reformation Day","CANDLE HOLDER SILVER MADELINE",39.6
"5","Reformation Day","CLOTHES PEGS RETROSPOT PACK 24",39.6
"6","Reformation Day","CREAM HEART CARD HOLDER",63.2
"7","Reformation Day","DOORSTOP RETROSPOT HEART",30
"8","Reformation Day","DRAWER KNOB CERAMIC IVORY",17.4
"9","Reformation Day","EDWARDIAN PARASOL BLACK",71.4
"10","Reformation Day","EDWARDIAN PARASOL RED",35.7
"11","Reformation Day","FAIRY CAKE FLANNEL ASSORTED COLOUR",28.44
"12","Reformation Day","FRENCH ENAMEL CANDLEHOLDER",25.2
"13","Reformation Day","HEART STRING MEMO HOLDER HANGING",37.92
"14","Reformation Day","HEART T-LIGHT HOLDER WILLIE WINKIE",39.6
"15","Reformation Day","JUMBO BAG RED RETROSPOT",41.6
"16","Reformation Day","LARGE CHINESE STYLE SCISSOR",17
"17","Reformation Day","MEMO BOARD COTTAGE DESIGN",39.6
"18","Reformation Day","MEMO BOARD RETROSPOT  DESIGN",39.6
"19","Reformation Day","PACK OF 12 PINK POLKADOT TISSUES",112.32
"20","Reformation Day","PACK OF 20 NAPKINS RED APPLES",20.4
"21","Reformation Day","PICNIC BOXES SET OF 3 RETROSPOT",39.6
"22","Reformation Day","RED RETROSPOT ROUND CAKE TINS",39.8
"23","Reformation Day","RED RETROSPOT TAPE",15.6
"24","Reformation Day","RED RETROSPOT UMBRELLA",35.7
"25","Reformation Day","RETROSPOT PARTY BAG + STICKER SET",26.4
"26","Reformation Day","RETROSPOT TEA SET CERAMIC 11 PC",29.7
"27","Reformation Day","ROUND SNACK BOXES SET OF4 WOODLAND",35.4
"28","Reformation Day","SET OF 3 WOODEN HEART DECORATIONS",30
"29","Reformation Day","SET OF 3 WOODEN STOCKING DECORATION",30
"30","Reformation Day","SET OF 3 WOODEN TREE DECORATIONS",30
"31","Reformation Day","SET OF 4 KNICK KNACK TINS DOILY",49.8
"32","Reformation Day","SET OF 6 RIBBONS VINTAGE CHRISTMAS",34.68
"33","Reformation Day","TRADTIONAL ALPHABET STAMP SET",39.6
"34","Reformation Day","VINTAGE GLASS T-LIGHT HOLDER",19.92
"35","Reformation Day","WHITE SPOT RED CERAMIC DRAWER KNOB",34.8
"36","Reformation Day","WRAP 50'S  CHRISTMAS",21
"37","Reformation Day","ZINC BOX SIGN HOME",19.9
"38","Reformation Day","ZINC HEART LATTICE T-LIGHT HOLDER",30
"39","Reformation Day","ZINC METAL HEART DECORATION",30
"40","Reformation Day","ZINC WILLIE WINKIE  CANDLE STICK",20.4
