Country,Year,Bank account,Location Type,Access to cellphone,Household size,Age of respondent,Gender of respondent,Relation with head of the house,Marital status,Education level,Job type
Kenya,2018,Yes,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Rural,No,5,70,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,Yes,Urban,Yes,5,26,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,No,Rural,Yes,5,34,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,No,Urban,No,8,26,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,No,Rural,No,7,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,No,Rural,Yes,1,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,Yes,Rural,Yes,3,54,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,3,76,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
Kenya,2018,No,Rural,Yes,5,40,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,3,69,Male,Head of Household,Married/Living together,Secondary education,Other Income
Kenya,2018,No,Rural,No,6,64,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,8,31,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,No,Urban,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,7,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,1,47,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,Yes,Rural,Yes,6,27,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Urban,Yes,1,48,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Kenya,2018,No,Rural,No,4,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,1,32,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
Kenya,2018,No,Urban,Yes,4,34,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,3,21,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Urban,No,7,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,5,22,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,8,26,Male,Child,Married/Living together,Primary education,Self employed
