,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Amount_Term1,app_income_cut,coapp_income_cut,Loan_StatusNum
0,0,Graduate,No,5849,0.0,146.41,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
1,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
2,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
3,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
4,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
5,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
6,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
7,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
8,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
9,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,200-500,12.5K-25K,10K+,0
10,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
12,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,200-500,0-12.5K,5K-10K,1
13,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
14,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,100-200,0-12.5K,0-5K,1
15,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,200-500,0-12.5K,0-5K,1
17,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
18,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,200-500,0-12.5K,0-5K,0
20,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,200-500,0-12.5K,0-5K,0
21,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,200-500,0-12.5K,5K-10K,1
22,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,200-500,0-12.5K,0-5K,0
25,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
26,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,200-500,0-12.5K,0-5K,1
